objid,ra,dec,u-peaks,g-peaks,r-peaks,i-peaks,u-peak-numbers,u-peak-distance,g-peak-numbers,g-peak-distance,r-peak-numbers,r-peak-distance,i-peak-numbers,i-peak-distance
1237662663208337484,219.40522321703,35.0369639426239,"[(40, 73)(50, 51)]","[(40, 73)(50, 50)]","[(40, 72)(50, 50)]","[(40, 73)(50, 50)]","[40, 73, 50, 51]",24.166091947189145,"[40, 73, 50, 50]",25.079872407968907,"[40, 72, 50, 50]",24.166091947189145,"[40, 73, 50, 50]",25.079872407968907
1237655468598755712,228.104828231898,1.49734401223325,"[(48, 60)(50, 48)]","[(50, 49)(48, 60)]","[(50, 49)(49, 59)]","[(50, 50)(48, 70)]","[48, 60, 50, 48]",12.165525060596439,"[50, 49, 48, 60]",11.180339887498949,"[50, 49, 49, 59]",10.04987562112089,"[50, 50, 48, 70]",20.09975124224178
1237651735777968435,228.044001572882,1.30919812766492,"[(51, 50)(46, 64)]","[(50, 50)(46, 62)]","[(50, 50)(45, 61)]","[(50, 50)(45, 61)]","[51, 50, 46, 64]",14.866068747318506,"[50, 50, 46, 62]",12.649110640673518,"[50, 50, 45, 61]",12.083045973594572,"[50, 50, 45, 61]",12.083045973594572
1237654605315702845,137.096088285595,3.17229892684359,"[(50, 25)(51, 32)]","[(51, 23)(51, 32)]","[(51, 22)(51, 33)]","[(51, 23)(51, 31)]","[50, 25, 51, 32]",7.0710678118654755,"[51, 23, 51, 32]",9.0,"[51, 22, 51, 33]",11.0,"[51, 23, 51, 31]",8.0
1237661151916064867,198.244812774069,49.7446889094719,"[(60, 49)(48, 49)]","[(50, 50)(64, 50)]","[(51, 49)(15, 51)]","[(50, 50)(63, 49)]","[60, 49, 48, 49]",12.0,"[50, 50, 64, 50]",14.0,"[51, 49, 15, 51]",36.05551275463989,"[50, 50, 63, 49]",13.038404810405298
1237663918413119699,117.336220147051,52.350829404968,"[(56, 44)(50, 51)]","[(56, 44)(50, 50)]","[(56, 44)(50, 50)]","[(50, 50)(57, 43)]","[56, 44, 50, 51]",9.219544457292887,"[56, 44, 50, 50]",8.48528137423857,"[56, 44, 50, 50]",8.48528137423857,"[50, 50, 57, 43]",9.899494936611665
1237664338780684429,151.426447858091,33.0511538485408,"[(59, 50)(50, 49)]","[(58, 50)(50, 50)]","[(51, 50)(58, 50)]","[(51, 51)(58, 50)]","[59, 50, 50, 49]",9.055385138137417,"[58, 50, 50, 50]",8.0,"[51, 50, 58, 50]",7.0,"[51, 51, 58, 50]",7.0710678118654755
1237665226773889145,199.214608435401,31.5799398335351,"[(31, 67)(54, 53)]","[(37, 59)(54, 53)]","[(37, 59)(54, 54)]","[(37, 59)(53, 53)]","[31, 67, 54, 53]",26.92582403567252,"[37, 59, 54, 53]",18.027756377319946,"[37, 59, 54, 54]",17.72004514666935,"[37, 59, 53, 53]",17.08800749063506
1237662225691836501,223.778799930456,33.7228037851946,"[(47, 65)(51, 52)]","[(46, 65)(50, 52)]","[(46, 65)(50, 52)]","[(47, 65)(51, 53)]","[47, 65, 51, 52]",13.601470508735444,"[46, 65, 50, 52]",13.601470508735444,"[46, 65, 50, 52]",13.601470508735444,"[47, 65, 51, 53]",12.649110640673518
1237655744563052922,241.784176281584,4.59585118253911,"[(44, 54)(48, 57)]","[(50, 50)(49, 57)]","[(50, 50)(41, 39)]","[(50, 49)(41, 40)]","[44, 54, 48, 57]",5.0,"[50, 50, 49, 57]",7.0710678118654755,"[50, 50, 41, 39]",14.212670403551895,"[50, 49, 41, 40]",12.727922061357855
1237660671431999587,163.015797969156,12.6231641766255,"[(40, 56)(50, 49)]","[(50, 50)(40, 56)]","[(51, 50)(41, 56)]","[(50, 50)(40, 57)]","[40, 56, 50, 49]",12.206555615733702,"[50, 50, 40, 56]",11.661903789690601,"[51, 50, 41, 56]",11.661903789690601,"[50, 50, 40, 57]",12.206555615733702
1237661068179996815,162.827158390621,12.7565423826917,"[(41, 61)(53, 41)]","[(50, 51)(42, 60)]","[(50, 50)(42, 60)]","[(50, 50)(42, 60)]","[41, 61, 53, 41]",23.323807579381203,"[50, 51, 42, 60]",12.041594578792296,"[50, 50, 42, 60]",12.806248474865697,"[50, 50, 42, 60]",12.806248474865697
1237663785276604612,12.4707912582006,0.960818299663333,"[(50, 50)(12, 73)]","[(18, 73)(29, 63)]","[(18, 72)(29, 62)]","[(17, 72)(28, 63)]","[50, 50, 12, 73]",44.41846462902562,"[18, 73, 29, 63]",14.866068747318506,"[18, 72, 29, 62]",14.866068747318506,"[17, 72, 28, 63]",14.212670403551895
1237654669739884626,159.851599954049,-0.389285815281824,"[(50, 50)(19, 57)]","[(50, 50)(19, 57)]","[(50, 49)(20, 56)]","[(50, 50)(20, 57)]","[50, 50, 19, 57]",31.78049716414141,"[50, 50, 19, 57]",31.78049716414141,"[50, 49, 20, 56]",30.805843601498726,"[50, 50, 20, 57]",30.805843601498726
