epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,1499.58,1.16265,0.98027,1.25285,0.5577,0.83529,0.61788,0.37947,1.38173,1.36019,1.57709,0.00127235,0.00127235,0.00127235
149,1509.56,1.13666,0.91101,1.22374,0.58468,0.8,0.6482,0.38941,1.32632,1.1537,1.53108,0.0012674,0.0012674,0.0012674
150,1519.41,1.12867,0.94763,1.2336,0.59169,0.85243,0.72583,0.43547,1.32314,1.13383,1.55254,0.00126245,0.00126245,0.00126245
151,1529.27,1.18191,0.94297,1.26085,0.59301,0.85709,0.64594,0.39889,1.3289,1.24659,1.5471,0.0012575,0.0012575,0.0012575
152,1539.13,1.128,0.91168,1.22335,0.54815,0.82781,0.62568,0.39418,1.40613,1.22091,1.60305,0.00125255,0.00125255,0.00125255
153,1549.09,1.12548,0.90897,1.21591,0.57934,0.83529,0.67677,0.42469,1.32192,1.25782,1.52509,0.0012476,0.0012476,0.0012476
154,1559.68,1.11892,0.92432,1.20394,0.54585,0.88235,0.63634,0.39464,1.34621,1.18678,1.53075,0.00124265,0.00124265,0.00124265
155,1569.57,1.13693,0.88572,1.22105,0.51953,0.77647,0.59178,0.36225,1.4137,1.18893,1.63339,0.0012377,0.0012377,0.0012377
156,1579.53,1.10211,0.89627,1.21331,0.53588,0.78787,0.59784,0.3758,1.32705,1.25009,1.54731,0.00123275,0.00123275,0.00123275
157,1589.39,1.14579,0.95066,1.25369,0.56411,0.79175,0.59642,0.37272,1.37425,1.20747,1.6021,0.0012278,0.0012278,0.0012278
158,1599.2,1.15649,0.96079,1.23993,0.50475,0.89412,0.63495,0.39294,1.30861,1.19403,1.53406,0.00122285,0.00122285,0.00122285
159,1609.05,1.16515,0.89288,1.22047,0.51444,0.75294,0.63767,0.3913,1.40073,1.27238,1.58218,0.0012179,0.0012179,0.0012179
160,1619,1.13565,0.95785,1.22899,0.55254,0.90588,0.66476,0.39278,1.32282,1.1787,1.52667,0.00121295,0.00121295,0.00121295
161,1628.86,1.14522,0.93678,1.22953,0.59281,0.78824,0.62714,0.37713,1.3683,1.3083,1.56329,0.001208,0.001208,0.001208
162,1638.69,1.10581,0.8623,1.20964,0.54818,0.87059,0.64769,0.3989,1.3239,1.43001,1.51758,0.00120305,0.00120305,0.00120305
163,1648.56,1.13626,0.91168,1.23285,0.55228,0.82353,0.66708,0.40992,1.33324,1.19848,1.53296,0.0011981,0.0011981,0.0011981
164,1658.5,1.08837,0.88465,1.20718,0.60628,0.79714,0.61801,0.39477,1.28705,1.1042,1.52484,0.00119315,0.00119315,0.00119315
165,1668.39,1.11051,0.90506,1.22021,0.60158,0.71058,0.64477,0.40686,1.31678,1.24956,1.50143,0.0011882,0.0011882,0.0011882
166,1678.25,1.14257,0.90945,1.21452,0.52911,0.89892,0.65061,0.39181,1.30859,1.20329,1.55021,0.00118325,0.00118325,0.00118325
167,1688.14,1.12847,0.91472,1.23361,0.54004,0.81499,0.61344,0.38462,1.29359,1.25072,1.51305,0.0011783,0.0011783,0.0011783
168,1698.14,1.10659,0.90036,1.20038,0.51871,0.88758,0.68915,0.41699,1.31254,1.16751,1.52423,0.00117335,0.00117335,0.00117335
169,1708.06,1.10747,0.85171,1.20526,0.6285,0.67059,0.68943,0.41722,1.34142,1.20696,1.56216,0.0011684,0.0011684,0.0011684
170,1717.92,1.12006,0.85188,1.20317,0.5807,0.81176,0.72091,0.43608,1.32459,1.20622,1.55115,0.00116345,0.00116345,0.00116345
171,1727.92,1.09971,0.88053,1.20296,0.56196,0.82353,0.64089,0.37306,1.44871,1.23281,1.65556,0.0011585,0.0011585,0.0011585
172,1737.82,1.1343,0.89348,1.23179,0.60822,0.73059,0.63431,0.40523,1.35997,1.28288,1.57798,0.00115355,0.00115355,0.00115355
173,1747.74,1.09003,0.87368,1.19595,0.60552,0.76471,0.67347,0.42438,1.32333,1.13476,1.56278,0.0011486,0.0011486,0.0011486
174,1757.62,1.09601,0.87691,1.2052,0.56129,0.83529,0.68785,0.43932,1.28415,1.11986,1.52015,0.00114365,0.00114365,0.00114365
175,1767.62,1.10694,0.8552,1.21091,0.58597,0.82353,0.65624,0.40387,1.35789,1.2292,1.58601,0.0011387,0.0011387,0.0011387
176,1777.51,1.103,0.87878,1.20694,0.58603,0.64953,0.64911,0.39809,1.39809,1.33765,1.60104,0.00113375,0.00113375,0.00113375
177,1787.43,1.10212,0.89866,1.19656,0.53867,0.74118,0.65406,0.40231,1.42569,1.16306,1.62554,0.0011288,0.0011288,0.0011288
178,1797.39,1.10733,0.88363,1.19407,0.57194,0.83311,0.67018,0.4003,1.42676,1.27483,1.6359,0.00112385,0.00112385,0.00112385
179,1807.28,1.11019,0.90471,1.20815,0.56306,0.72941,0.65022,0.39943,1.41653,1.12692,1.6223,0.0011189,0.0011189,0.0011189
180,1817.14,1.09832,0.86446,1.20633,0.64324,0.70003,0.69033,0.4267,1.34285,1.14971,1.56964,0.00111395,0.00111395,0.00111395
